COORD_ORIGEN,DPTO_ORIGEN,id_origen,COORD_DESTINO,DPTO_DESTINO,id_destino,LAT_ORIGEN,LONG_ORIGEN,LAT_DESTINO,LONG_DESTINO
"-33.05324,-68.774",Barrancas,1,"-32.88204,-68.789",Belgrano,2,-33.05324,-68.774,-32.88204,-68.789
"-33.05324,-68.774",Barrancas,1,"-32.87568,-68.789",Bermejo,3,-33.05324,-68.774,-32.87568,-68.789
"-33.05324,-68.774",Barrancas,1,"-32.90076,-68.759",Buena Nueva,4,-33.05324,-68.774,-32.90076,-68.759
"-33.05324,-68.774",Barrancas,1,"-32.79679,-68.816",Capdevilla,5,-33.05324,-68.774,-32.79679,-68.816
"-33.05324,-68.774",Barrancas,1,"-32.90212,-68.761",Capilla del Rosario,6,-33.05324,-68.774,-32.90212,-68.761
"-33.05324,-68.774",Barrancas,1,"-32.96722,-68.835",Carrodilla,7,-33.05324,-68.774,-32.96722,-68.835
"-33.05324,-68.774",Barrancas,1,"-32.98629,-68.872",Chacras de Coria,8,-33.05324,-68.774,-32.98629,-68.872
"-33.05324,-68.774",Barrancas,1,"-32.86246,-68.859",Cieneguita,9,-33.05324,-68.774,-32.86246,-68.859
"-33.05324,-68.774",Barrancas,1,"-33.03039,-68.857",Ciudad (L),10,-33.05324,-68.774,-33.03039,-68.857
"-33.05324,-68.774",Barrancas,1,"-32.85997,-68.838",Ciudad (LH),11,-33.05324,-68.774,-32.85997,-68.838
"-33.05324,-68.774",Barrancas,1,"-32.91051,-68.864",Ciudad de Godoy Cruz,12,-33.05324,-68.774,-32.91051,-68.864
"-33.05324,-68.774",Barrancas,1,"-32.84074,-68.689",Colonia Segovia,13,-33.05324,-68.774,-32.84074,-68.689
"-33.05324,-68.774",Barrancas,1,"-32.99242,-68.748",Coquimbito,14,-33.05324,-68.774,-32.99242,-68.748
"-33.05324,-68.774",Barrancas,1,"-33.01568,-68.836",Cruz de Piedra,15,-33.05324,-68.774,-33.01568,-68.836
"-33.05324,-68.774",Barrancas,1,"-32.87931,-68.836",Cuarta seccion,16,-33.05324,-68.774,-32.87931,-68.836
"-33.05324,-68.774",Barrancas,1,"-32.89804,-68.831",Decima Seccion,17,-33.05324,-68.774,-32.89804,-68.831
"-33.05324,-68.774",Barrancas,1,"-32.87049,-68.92",Decimo Primera Seccion,18,-33.05324,-68.774,-32.87049,-68.92
"-33.05324,-68.774",Barrancas,1,"-32.88612,-68.916",Decimo Segunda Seccion,19,-33.05324,-68.774,-32.88612,-68.916
"-33.05324,-68.774",Barrancas,1,"-32.88484,-68.917",Dorrego,20,-33.05324,-68.774,-32.88484,-68.917
"-33.05324,-68.774",Barrancas,1,"-32.84084,-68.8",El Algarrobal,21,-33.05324,-68.774,-32.84084,-68.8
"-33.05324,-68.774",Barrancas,1,"-32.8316,-68.763",El Borbollon,22,-33.05324,-68.774,-32.8316,-68.763
"-33.05324,-68.774",Barrancas,1,"-32.8625,-68.861",El challao,23,-33.05324,-68.774,-32.8625,-68.861
"-33.05324,-68.774",Barrancas,1,"-32.78552,-68.754",El Pastal,24,-33.05324,-68.774,-32.78552,-68.754
"-33.05324,-68.774",Barrancas,1,"-32.84099,-68.812",El Plumerillo,25,-33.05324,-68.774,-32.84099,-68.812
"-33.05324,-68.774",Barrancas,1,"-32.82836,-68.816",El Resguargo,26,-33.05324,-68.774,-32.82836,-68.816
"-33.05324,-68.774",Barrancas,1,"-32.86931,-68.76",El Sauce,27,-33.05324,-68.774,-32.86931,-68.76
"-33.05324,-68.774",Barrancas,1,"-32.85674,-68.809",El Zapallar,28,-33.05324,-68.774,-32.85674,-68.809
"-33.05324,-68.774",Barrancas,1,"-33.01207,-68.695",Fray Luis Beltran,29,-33.05324,-68.774,-33.01207,-68.695
"-33.05324,-68.774",Barrancas,1,"-32.95489,-68.819",General Gutierrez,30,-33.05324,-68.774,-32.95489,-68.819
"-33.05324,-68.774",Barrancas,1,"-32.94584,-68.719",General Ortega,31,-33.05324,-68.774,-32.94584,-68.719
